id,entity
0,iPhone 16 Pro Max 256GB | Chính hãng VN/A
1,Samsung Galaxy S25 256GB
2,Xiaomi 14T Pro 12GB 512GB
3,OPPO Reno10 Pro+ 5G 12GB 256GB
4,Xiaomi 14T 12GB 512GB
5,Samsung Galaxy S25 Ultra 12GB 256GB
6,iPhone 15 128GB | Chính hãng VN/A
7,Samsung Galaxy S24 FE 5G 8GB 128GB
8,iPhone 16 Pro 128GB | Chính hãng VN/A
9,Xiaomi Redmi Note 14 6GB 128GB
10,OPPO FIND N5
11,iPhone 13 128GB | Chính hãng VN/A
12,Xiaomi Redmi Note 14 5G 8GB 256GB
13,Nubia Neo 3 4G 8GB 128GB
14,Nothing Phone 2A 5G 8GB 128GB - Chỉ có tại CellphoneS
15,Nothing Phone 2A Plus 5G 12GB 256GB - Chỉ có tại CellphoneS
16,iPhone 16 Pro 512GB | Chính hãng VN/A
17,Samsung Galaxy S24 Ultra 12GB 256GB
18,Samsung Galaxy A56 5G 8GB 128GB
19,Nubia Neo 3 GT 12GB 256GB
20,Xiaomi POCO X7 Pro 5G 12GB 256GB - Chỉ có tại CellphoneS
21,iPhone 14 128GB  | Chính hãng VN/A
22,Samsung Galaxy Z Flip6 12GB 256GB
23,Nothing Phone 2A 5G 12GB 256GB - Chỉ có tại CellphoneS
24,iPhone 16 128GB | Chính hãng VN/A
25,iPhone 15 Plus 128GB | Chính hãng VN/A
26,Samsung Galaxy M55 5G 8GB 256GB
27,Xiaomi POCO M6 6GB 128GB - Chỉ có tại CellphoneS
28,iPhone 14 Pro Max 128GB | Chính hãng VN/A
29,Xiaomi 15 5G 12GB 256GB
30,Nubia Music NFC 4GB 128GB (Bản đặc biệt)
31,iPhone 16 Pro 256GB | Chính hãng VN/A
32,Samsung Galaxy A36 5G 8GB 128GB
33,Điện thoại Meizu Mblu 21 4GB 64GB 
34,iPhone 15 256GB | Chính hãng VN/A
35,OPPO Find X8 16GB 512GB
36,TECNO CAMON 40 Pro 8GB 256GB
37,iPhone 15 Pro 128GB | Chính hãng VN/A
38, Xiaomi 15 Ultra 5G 16GB 1TB 
39,iPhone 16 Plus 128GB | Chính hãng VN/A
40,Samsung Galaxy A16 5G 8GB 128GB
41,OPPO Reno13 F 8GB 256GB
42,iPhone 16 Pro Max 512GB | Chính hãng VN/A
43,iPhone 16e 128GB | Chính hãng VN/A
44,Samsung Galaxy S25 Ultra 512GB
45,Samsung Galaxy A05S 6GB 128GB
46,iPhone 16 Pro Max 1TB | Chính hãng VN/A
47,Samsung Galaxy S25 Plus 512GB
48,iPhone 15 Plus 256GB | Chính hãng VN/A
49,Redmi Note 13 Pro 5G 12GB 512GB
50,Samsung Galaxy Z Fold 6 12GB 256GB
51,Xiaomi Redmi Note 14 Pro Plus 5G 8GB 256GB
52,Samsung Galaxy S25 Plus 256GB
53,Nubia Neo 3 5G 8GB 256GB
54,Samsung Galaxy A26 5G 8GB 128GB
55,Samsung Galaxy A06 5G 4GB 128GB
56,OPPO Reno12 5G 12GB 256GB
57,Xiaomi 15 Ultra 5G 16GB 512GB
58,OPPO A3 6GB 128GB
59,Điện thoại Nubia Z70 Ultra 5G 16GB 512GB bản đặc biệt
60,Samsung Galaxy S25 512GB
